GAME,VIEWERS,CHANNELS,TIMESTMAP
Just Chatting,205314,2484,2020-02-24 20:56:56.160587
Counter-Strike: Global Offensive,200002,2698,2020-02-24 20:56:56.160600
League of Legends,197310,4849,2020-02-24 20:56:56.160605
Fortnite,169445,7421,2020-02-24 20:56:56.160608
Grand Theft Auto V,100115,1912,2020-02-24 20:56:56.160611
Escape From Tarkov,90129,1605,2020-02-24 20:56:56.160614
World of Warcraft,56461,2688,2020-02-24 20:56:56.160617
Dota 2,46095,1006,2020-02-24 20:56:56.160621
Apex Legends,42771,3337,2020-02-24 20:56:56.160624
Tom Clancy's Rainbow Six: Siege,30236,1758,2020-02-24 20:56:56.160628
